
table =

    1.1100         0
    2.3748         0
    2.7036    1.0000
    1.0765         0
    2.0950    1.0000
    3.1658         0
    0.5995         0
    2.0740    1.0000
    0.3347         0
    3.9232         0
    2.5935    1.0000
    0.2786         0
    1.4093         0
    2.5407         0
    2.0337    1.0000
    1.2511         0
    1.9094         0
    2.1878         0
   -2.2465    1.0000
    1.9447         0
   -1.1158         0
    2.8415         0
    2.2406    1.0000
   -1.3520         0

Program Complete
