date,STFBA_XEOP_MA_N.Q,STFBA_XQA_MA_N.Q,STFBAI_XEOP_MA_N.Q,STFBAI_XQA_MA_N.Q,STFBYI_MA_N.Q,STFBYIT_MA_N.Q,STFBEI_MA_N.Q,STFBEIT_MA_N.Q,STFBAIB_XQA_MA_N.Q,STFBAIS_XQA_MA_N.Q,STFBAIF_XQA_MA_N.Q,STFBAIL_XQA_MA_N.Q,STFBAIT_XQA_MA_N.Q
85Q1,2496069,2472580,2185760,2160946,61540,807,39994,1897,143915,388483,108071,1488887,31944
85Q2,2562827,2520252,2242531,2207429,62048,775,39494,1981,148564,395611,114819,1518384,30336
85Q3,2619050,2559681,2296699,2245827,61647,829,38790,2407,147527,403317,118010,1545093,32251
85Q4,2722717,2620517,2381073,2299804,62717,930,38922,2170,143250,411569,129409,1578982,37405
86Q1,2719845,2676522,2392806,2356678,62067,956,38688,2462,141734,434948,136967,1600414,42750
86Q2,2764679,2707447,2430401,2380307,59870,786,36253,1795,144943,437063,136202,1622871,40223
86Q3,2789573,2749854,2465543,2422567,58466,770,34657,1714,144981,459191,133968,1640566,44674
86Q4,2931082,2807738,2569061,2478229,58224,835,33903,1916,146668,477574,138301,1673194,43333
87Q1,2890983,2869135,2545053,2555458,58234,1081,34216,2584,152408,483854,139485,1736034,45248
87Q2,2902756,2892444,2564265,2583508,60354,1024,35739,3112,160688,493055,134159,1756401,40313
87Q3,2932584,2890410,2600845,2599534,61683,913,36470,2852,155953,499361,136548,1770230,37952
87Q4,2989746,2962709,2643323,2659511,64593,939,38622,3196,168354,510373,140344,1807008,34335
88Q1,3006181,2973944,2678339,2679790,63858,1085,38473,3296,159372,516686,145539,1821260,37576
88Q2,3045739,3016146,2705382,2711473,65381,1218,39507,3580,154812,519873,142085,1858801,39266
88Q3,3083772,3052202,2733185,2738691,69570,1347,42829,4007,158824,523909,139748,1883735,37528
88Q4,3119303,3096436,2749269,2779067,75420,1278,45593,4442,152836,531386,142982,1911358,41789
89Q1,3137941,3100691,2784644,2788425,75515,958,47555,4475,144517,535896,143278,1929155,36979
89Q2,3194023,3143276,2830651,2820661,79656,1005,51629,4866,143897,542123,135972,1961329,37537
89Q3,3210685,3187397,2852108,2863125,80159,1176,52495,5568,143390,546881,136495,1999323,39049
89Q4,3286081,3248989,2903375,2926507,81640,1290,53356,5859,139885,554113,152569,2035816,46101
90Q1,3304875,3281229,2929626,2958749,81154,1341,52880,6528,139126,567862,147801,2055868,49753
90Q2,3347926,3335204,2965251,2991246,78786,1262,50253,4048,134305,588400,149152,2080971,47476
90Q3,3369065,3364180,2984180,3030639,79997,1411,50959,3878,124155,597656,160967,2095458,55014
90Q4,3372708,3383384,2968773,3038893,80290,1383,50761,4226,110301,603233,162994,2110429,56154
91Q1,3336434,3352701,2977866,3029369,75321,1104,45774,3396,111566,610439,159415,2098668,52658
91Q2,3363058,3357300,2988781,3026237,72459,1084,42303,2802,105507,628288,155781,2082766,55919
91Q3,3421896,3373390,3020791,3035472,72195,1210,41171,2900,107747,643609,157387,2068522,63560
91Q4,3418025,3409087,3024844,3067446,70651,1285,39240,3260,109398,671137,166800,2048266,74013
92Q1,3422728,3427895,3047969,3095658,66439,1200,34095,3008,108599,699762,176739,2038489,75977
92Q2,3423348,3418657,3050439,3082393,64451,1310,31517,3100,105904,712856,162771,2026607,81063
92Q3,3466213,3418186,3083025,3093813,63298,1335,29415,2999,96295,737992,156080,2022225,82298
92Q4,3493315,3479054,3102655,3133176,62268,1474,27499,3332,101161,756632,158828,2028210,90486
93Q1,3499338,3485239,3114875,3139266,60945,1544,26469,3425,96986,776761,155576,2017714,93732
93Q2,3555267,3538464,3169114,3189816,60428,1507,25823,3457,94710,797306,155236,2040401,103357
93Q3,3616412,3589378,3216771,3235624,61778,1774,26712,4196,95115,804028,160652,2061995,114798
93Q4,3691224,3652108,3301776,3292319,61525,1863,26578,4285,88491,813425,161815,2107898,122431
94Q1,3828280,3773967,3323544,3311425,60366,2009,25314,4278,89300,824985,157144,2134010,108817
94Q2,3877356,3820946,3349329,3339500,64061,1872,27675,4934,87538,847414,146046,2170613,91855
94Q3,3905623,3878448,3396925,3398817,64103,1721,27022,3356,90396,839262,145013,2225054,102506
94Q4,3989309,3944124,3476729,3473465,68486,1929,30820,4109,93044,826405,157419,2293098,105617
95Q1,4097704,4015608,3530401,3521293,72009,1977,34470,4805,95365,815188,165746,2362732,84583
95Q2,4150755,4121061,3610933,3609145,75213,2040,36985,5126,90677,801602,172365,2438770,106561
95Q3,4207829,4155651,3681538,3664121,76998,2125,37938,5396,90832,799756,169527,2491975,114452
95Q4,4292244,4243466,3748593,3737910,78130,2098,38537,5616,87357,800624,185517,2546874,120013
96Q1,4284712,4277806,3765089,3777722,77212,2166,37468,5491,84938,793165,192669,2587600,120890
96Q2,4372638,4343547,3815298,3834193,76649,1860,36533,5320,92247,802487,178971,2641063,122539
96Q3,4434442,4343285,3868020,3835253,78522,2144,37251,5485,85931,787998,165433,2673545,123275
96Q4,4555343,4465541,3966600,3935966,81180,2381,38921,6012,86754,785752,175597,2757373,131447
97Q1,4612847,4542102,4027135,4022286,80504,2366,38536,5168,96043,792504,244013,2747413,143923
97Q2,4736619,4627353,4133154,4110792,83882,2499,40408,5792,96103,810338,234931,2818781,151590
97Q3,4832491,4731784,4214592,4189811,85610,2494,41700,5754,102277,809163,249095,2872176,158086
97Q4,4975426,4875234,4309964,4290486,87731,2688,43549,6106,119698,831356,277124,2921735,142994
98Q1,5066037,4989588,4407779,4389434,87748,2647,43851,6143,114238,863058,280071,2972938,161221
98Q2,5130180,5052817,4449320,4431508,89059,2748,44058,6666,97093,876030,280596,3025912,157022
98Q3,5215079,5123454,4521318,4487985,91743,2938,45802,6891,96280,884147,279198,3089288,140006
98Q4,5382620,5305873,4661443,4631944,90765,1790,44333,6285,110364,927331,298869,3163269,132956
99Q1,5358763,5339185,4664965,4687965,89172,1926,42398,6539,105434,953874,282776,3223892,123916
99Q2,5413867,5364251,4718245,4724091,88846,1836,41664,6413,103297,989457,268584,3250194,112988
99Q3,5456216,5379355,4753348,4742018,91210,1566,42979,7125,96002,1014045,238639,3297944,96039
99Q4,5675508,5569670,4935281,4887272,97575,1781,48205,9234,108199,1040043,242353,3390964,107716
00Q1,5784763,5682973,5029567,5012735,99150,2014,49684,8718,95177,1055078,243595,3495374,124344
00Q2,5918570,5844828,5167433,5146663,104591,2335,54224,9563,104319,1053996,241740,3600607,147260
00Q3,5998649,5909055,5240602,5212055,108859,2488,58140,10181,96783,1043738,237122,3686502,148504
00Q4,6172609,6018901,5362466,5293293,110779,2581,59844,9720,102040,1042357,252252,3748995,148339
01Q1,6244625,6136288,5423761,5384263,108245,2568,57087,9559,125914,1022507,296791,3782524,157839
01Q2,6283750,6219273,5461110,5451104,103051,2456,50536,8169,132939,1023915,325848,3810509,158790
01Q3,6478025,6286470,5560144,5507474,99591,2340,45723,7315,150697,1043174,350905,3818512,151035
01Q4,6488244,6474260,5574854,5609953,93266,2176,35361,6286,132254,1086387,341327,3884461,166906
02Q1,6380491,6396854,5552466,5600493,86841,1880,29816,5443,125278,1122317,324400,3840199,190031
02Q2,6620097,6463189,5728172,5643256,88481,2325,31141,6047,127822,1154776,308095,3851532,203069
02Q3,6816387,6612241,5870443,5741727,88202,2248,30258,5788,128996,1185185,317844,3919880,191154
02Q4,6954913,6827801,5994864,5956510,86012,2142,27496,5391,132424,1248785,341946,4034818,200447
03Q1,7078851,6943679,6115570,6044818,83156,2126,25281,5145,121769,1279412,341066,4089678,213982
03Q2,7370481,7140941,6331753,6197442,82888,1967,24523,5125,128626,1347905,353948,4164780,204597
03Q3,7341650,7294491,6299070,6325910,81237,1801,22642,4771,142895,1345212,375687,4265718,205572
03Q4,7454564,7294960,6430786,6356992,81872,1973,21660,4867,137450,1370716,366650,4258845,225549
04Q1,7671890,7482304,6696692,6568751,82919,2144,22374,4951,155486,1448991,355558,4342531,269582
04Q2,7900115,7783365,6887456,6846126,84975,2452,22935,5113,178059,1515748,348459,4518614,287315
04Q3,8086262,7950993,7007455,6981529,89090,2474,25657,5575,182364,1489524,385934,4640093,288446
04Q4,8258458,8150949,7156732,7104732,91645,2722,27557,5538,178199,1466981,386597,4750535,325568
05Q1,8450805,8342372,7329712,7286334,97720,3167,32920,6707,161021,1527566,388753,4848184,364927
05Q2,8579599,8467882,7451927,7399850,102762,3690,37395,7422,136402,1540821,407730,4938260,377882
05Q3,8759599,8664222,7614112,7554451,110439,3326,43276,8075,129801,1537252,412491,5114420,363369
05Q4,8896775,8834898,7726842,7726959,115610,3512,48900,8586,127894,1537362,454697,5242709,365165
06Q1,9185532,9070146,7982394,7933347,123465,4031,54432,9488,136991,1576196,462810,5368830,391747
06Q2,9456470,9380242,8216124,8223251,132562,4813,61409,10174,162196,1638371,482983,5511318,429435
06Q3,9618034,9517974,8344926,8356523,139608,4393,68145,10799,154342,1642778,491650,5632887,436221
06Q4,9996792,9882441,8688915,8681053,153874,4664,78941,16393,155119,1643316,540152,5874713,470949
07Q1,10037756,9924528,8778210,8736455,146015,6029,72975,11256,157742,1612288,543194,5896068,530498
07Q2,10314024,10195673,8997470,8968944,151487,6044,76556,12319,175146,1620099,578851,6059944,535816
07Q3,10694665,10472183,9247385,9176287,159189,7134,80412,13069,214926,1630837,553461,6222939,555479
07Q4,11077287,10942001,9567755,9546588,159706,7163,80156,13613,229219,1588579,593184,6520092,619429
08Q1,11393842,11207389,9735605,9668163,149965,7610,68753,12439,232317,1566409,654993,6585833,629063
08Q2,11323970,11291417,9703032,9766269,137793,6685,55319,10455,263214,1623071,664457,6625713,592829
08Q3,11950424,11691018,10089117,10128810,136856,6144,53227,10335,264196,1716383,715063,6853359,577631
