


       MOVEINDEX.Q  IMP10YRVOL.Q  VAR_SVENY0025.Q  VAR_SVENY0050.Q  VAR_SVENY0075.Q  VAR_SVENY0100.Q  VAR_SVENY0200.Q  VAR_SVENY0300.Q  VAR_SVENY0500.Q  VAR_SVENY0700.Q  VAR_SVENY1000.Q  VAR_SVENY1500.Q  VAR_SVENY2000.Q  VAR_SVENY3000.Q
      ------------  ------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------

85:3            ND    9.21720424               ND               ND               ND               ND               ND               ND               ND               ND               ND               ND               ND               ND
85:4            ND    7.47154059               ND               ND               ND               ND               ND               ND               ND               ND               ND               ND               ND               ND
86:1            ND    8.04110128       0.07670921       0.08591812       0.09607493       0.10695772       0.15417033       0.20214789       0.28689381       0.35042393       0.41225955       0.46902166       0.50519678       0.55556333
86:2            ND    9.98048804       0.01183981       0.01890925       0.02941675       0.04178442       0.09092656       0.12418761       0.14684734       0.14434756       0.13448474       0.12669621       0.12499652       0.12437734
86:3            ND    8.67370661       0.08549011       0.07768688       0.07194525       0.06761538       0.05738295       0.05102472       0.04181084       0.03844992       0.04339150       0.06035679       0.07416130       0.08971705
86:4            ND    7.00097796       0.02093634       0.01543193       0.01105489       0.00776614       0.00390367       0.00934360       0.02550092       0.03574965       0.04173475       0.04501282       0.04733510       0.05066161
87:1            ND    4.93894661       0.02112396       0.01782152       0.01532267       0.01335397       0.00846107       0.00597744       0.00412789       0.00382800       0.00395575       0.00442761       0.00496128       0.00578034
87:2            ND    9.67895933       0.03534182       0.04145992       0.06025459       0.07836228       0.10929312       0.10891766       0.09715629       0.08591741       0.07096091       0.05523835       0.04746730       0.04063074
87:3            ND    8.28262564       0.10160151       0.12975914       0.14826608       0.15926400       0.16141008       0.14902051       0.13971054       0.14134537       0.14373941       0.14312971       0.14200291       0.14083098
87:4            ND   11.01297686       0.22019142       0.19147840       0.18522624       0.18557859       0.19608924       0.19286848       0.16605901       0.14530841       0.13184586       0.12777132       0.13749489       0.21595276
88:1            ND    8.60921630       0.01786250       0.02680306       0.03604026       0.04276100       0.05309453       0.05821359       0.06523820       0.06157069       0.04517463       0.02715799       0.02831990       0.08651221
88:2  116.20944877    8.28052111       0.01828345       0.03949172       0.05400733       0.06024655       0.05102254       0.04013375       0.03184510       0.02792761       0.02650004       0.02975593       0.02727502       0.06449498
88:3  119.56585852    8.01322961       0.11720919       0.06403014       0.05240413       0.04654195       0.03472607       0.02863662       0.02357992       0.02226724       0.02625539       0.03511188       0.02781448       0.04145284
88:4  102.28604762    7.61021237       0.12497718       0.14119222       0.14146091       0.13358412       0.09934796       0.08239092       0.05588563       0.03074711       0.00940139       0.00510222       0.00855501       0.01932416
89:1  104.24945614    7.11687898       0.08848129       0.07958497       0.07643396       0.07330066       0.05981104       0.04968216       0.03539540       0.02647242       0.02013528       0.01759202       0.01890209       0.02671867
89:2  110.96768182    7.13726394       0.03483685       0.07680067       0.11346885       0.14050682       0.17358415       0.16685422       0.14507505       0.12692798       0.10743275       0.08917242       0.08030019       0.07480503
89:3  117.54067391    7.28656611       0.01023093       0.01776488       0.02991777       0.03971813       0.05468866       0.05218305       0.03687320       0.02385311       0.01245586       0.00556329       0.00433247       0.00830421
89:4   96.48445238    6.74927869       0.00634044       0.02362483       0.02837681       0.02813652       0.02339570       0.02016788       0.01574793       0.01350204       0.01191525       0.00876377       0.00495260       0.00605745
90:1  102.29975051    6.52911494       0.00890950       0.01679207       0.02362680       0.03073781       0.05245393       0.05869310       0.05349235       0.04574827       0.03815916       0.03352373       0.03388696       0.04030296
90:2   99.55919913    6.46443117       0.00738376       0.01951314       0.02636223       0.03176756       0.04031575       0.03978912       0.03556445       0.03301364       0.03170774       0.03254619       0.03548319       0.04868358
90:3  109.44721732    7.23106989       0.01601109       0.01170837       0.01151836       0.01192417       0.01192513       0.01186193       0.01901055       0.03320414       0.05752350       0.08564582       0.08965348       0.05247880
90:4  105.92633333    7.30109677       0.04651988       0.04724839       0.04805419       0.04892932       0.05293365       0.05739596       0.06634229       0.07397373       0.08146744       0.08367147       0.07748007       0.05889674
91:1  101.58043860    6.94594369       0.04067784       0.03308100       0.02760627       0.02388425       0.01999381       0.02225332       0.02330216       0.01995398       0.01603472       0.01483373       0.01710833       0.02040635
91:2   87.37219697    6.02995342       0.01267395       0.01042998       0.01011474       0.01051654       0.01244427       0.01281908       0.01271255       0.01356659       0.01428784       0.01258143       0.01332368       0.03328551
91:3   79.07703030    5.40406056       0.04919575       0.06422544       0.07804195       0.09031541       0.11996427       0.12449977       0.10117470       0.07394854       0.04969014       0.03754727       0.03833593       0.05268841
91:4   82.09145591    6.13641607       0.15560176       0.15221951       0.14844836       0.14437337       0.12582805       0.10582754       0.06928456       0.04321015       0.02349010       0.01583555       0.01298969       0.02902381
92:1  105.85751918    6.98490713       0.02045126       0.03274323       0.04627112       0.05998424       0.10251942       0.11729985       0.09241148       0.05291303       0.01917705       0.00860430       0.01925823       0.07368786
92:2  102.03718975    6.71727145       0.00461497       0.00432498       0.00526548       0.00704516       0.01712740       0.02527990       0.02796329       0.02033831       0.00901636       0.00362172       0.00450688       0.01022485
92:3  104.00812410    7.43327829       0.02326259       0.02520478       0.02707077       0.02885342       0.03473239       0.03832672       0.03937964       0.03556454       0.02837377       0.02134901       0.01460263       0.02824325
92:4  111.59099415    7.64299659       0.03042000       0.03714054       0.04466845       0.05250729       0.07962199       0.09112769       0.07054113       0.03401640       0.00742584       0.01524230       0.01912720       0.03736300
93:1  103.99938215    7.04793874       0.00237293       0.00432331       0.00856849       0.01455647       0.04603910       0.07382416       0.09497389       0.08853535       0.07051580       0.05170992       0.04294772       0.03544296
93:2   93.19611183    6.45399622       0.00915285       0.01660853       0.02336649       0.02867481       0.03288541       0.02312029       0.00823418       0.00727388       0.01074911       0.01120093       0.00973559       0.00844781
93:3   85.02437229    5.93366656       0.00421535       0.00391580       0.00502686       0.00694892       0.01693968       0.02582758       0.03637545       0.03952978       0.03847331       0.03736407       0.04093983       0.05171796
93:4   88.51822727    5.94256133       0.00198330       0.00422465       0.00704718       0.01021823       0.02316874       0.03343758       0.04388355       0.04545458       0.04104719       0.03100552       0.02377187       0.01658671
94:1   97.76717239    6.18779049       0.07666579       0.09493971       0.10993039       0.12191677       0.14489045       0.14657556       0.13397460       0.11873469       0.09679776       0.06822606       0.05094380       0.03459977
94:2  130.57866162    8.32335354       0.05299139       0.05204001       0.05077211       0.04884512       0.03790718       0.02820444       0.01814852       0.01503251       0.01188478       0.00893365       0.00760123       0.00665070
94:3  119.89623326    7.88783402       0.01960661       0.01451399       0.01288223       0.01227378       0.01196451       0.01179267       0.01124230       0.01157579       0.01317975       0.01559058       0.01680833       0.02042919
94:4  107.93650794    7.24669841       0.04988481       0.16644746       0.21040223       0.21268690       0.13082045       0.07371067       0.02915878       0.01509445       0.00976625       0.01713491       0.02303210       0.02591609
