date,assets,assets_avg,assets_ie,assets_ie_avg,assets_tr,equity,tier1,tier1_avg,tier1c,rwa,netintinc,nonintinc,nonintexp,nonintinc_tr,alll_lvl,lllp_lvl,tstock_prchs,dividends,impair_gw,impair_oint,inc_extra,nonintexp_comp,nonintexp_prop,dep_dom,dep_fgn,loans,loans_avg,loans_ci,loans_cld,loans_mfam,loans_nfnr,loans_heloc,loans_sfam,loans_sfam_l1,loans_sfam_l2,loans_cons,loans_cc,loans_consxcc,nchg,nchg_ci,nchg_cld,nchg_mfam,nchg_nfnr,nchg_heloc,nchg_sfam,nchg_sfam_l1,nchg_sfam_l2,nchg_cons,nchg_cc,nchg_consxcc,inc_tr_assets,nim_with_tr_assets_y9,nim_ta
97Q1,2737341172,2695492959.5,2313846716,2285459278.5,304051734,203690245,181175249,180173544.5,,2201205307,22545435,16341288,23378657,2460291,33488503,2387660,6372229,3175741,,,,12154053,3586407,885207766,370885816.5,1555588985,1535852636,357018567,26393488.5,16747569,120652985.5,51442280.5,313455873,269523449,43932424,310735918.5,127086895,183649023.5,2539021,177373,-3421,4420,-41915,27133,84033,,,,1641821,644218,3344616,0.870644492,0.8364123127
97Q2,2808641248,2771855719.5,2389240031,2350919221,323554779,207843379,182730987,181970545.5,,2285807841,22880517,17383531,25019358,2288790,33725624.5,2770733,5744196,3119214,,,,12289768,3663652,905128981.5,386224651.5,1602895553,1570989311,365225628.5,27085190.5,18057733,119481294,52949953,327308370,282950925,44357445,313196616,127499769.5,185696846.5,2785008,199503,-8579,-2707,-557,28323,103503,,,,1830394,593870,3526952,0.8555146545,0.8254584407
97Q3,2904794171,2873454206.5,2456283506,2437762936.5,347298305.5,213401192,187471987,186404002,,2354929839,23251609,19634470,27564486,2743070,34165997.5,2831788,4288454,3231732,,,,13379184,3761007,933005301.5,398376738,1633793294,1623483225,377020012,29041868.5,18020393.5,125398981.5,56014216,337538043.5,291937437,45600606.5,318310062,130951676.5,187358385.5,2964183,377183,-7657,3579,132,27012,83029,,,,1801087,603924,3530386,0.8348688585,0.8091866906
97Q4,2995111995,2961968959.5,2527247089,2503288129.5,361695690,218342338,190063561,189812153,,2426956268,23292861.324,18726625.294,27424083.265,987597,34138753,3104771.5,3580803,3352295.5588,,,,13393797.588,3926641.7647,959324514,408565283.5,1672449273,1651685531.5,390265251.5,29870289.5,18217746,127703436,58073372.5,339009319,293335578.5,45673740.5,317253937,130569123.5,186684813.5,2989720.4412,385333.02941,-14482,-1975,19699,25577,94234,,,,1761871.2059,689232.70588,3794828,0.8130189485,0.7863978874
98Q1,3136297812.5,3066562897,2638352739,2583737892.5,374078024.5,227123322,198376714,194040971.5,,2516174635,23650749.921,21643391.559,29613956.677,2992145.3315,33932868.5,2829770.063,2775100.2603,3659418.4849,,,-172272,14544775.986,4026685.4548,971182189,433592999,1719416827,1692359391.5,404440292.5,30187031.5,18473899.5,126913064,57837877,338541524.5,293802570,44738954.5,306774744,124896939.5,181877804.5,3013258.3425,404261.46575,-956.4630137,-1519.052055,-11425.53151,28765,87295.887671,,,,1585681.5753,731248.43836,3778519.1205,0.7996018205,0.7712462035
98Q2,3265803979,3220246081,2742765014,2704115983.5,383654803,235907935,205385140,202981814.5,,2609094227,24140664,23597633,30179830,2612986,34603005.5,2853881,1711680,3601699,,,-103528,14967607,4108888,1007511673.5,448075080,1764255847,1746387893,427337532.5,32330861.5,18537338,128199077,58662431,353904073,307171805.5,46732267.5,307976524.5,119070434,188906090.5,2953896,450971,-5801,-1556,-67230,24756,77173,,,,1625275,647683,3905925,0.7818152858,0.7496527716
98Q3,3324147372,3311702375.5,2788177035,2780989831.5,383872405.5,239928092,209781405,208864935,,2669771898,24229338,19393979,29500195,-5595,35270140.5,4319335,1689114,3784175,,,103522,14430618,4283959,1020970780.5,463765819.5,1815532325,1795612028,447852774.5,36077532.5,18650257.5,131216627.5,58548514.5,360924938.5,313650831,47274107.5,315397088,120839124.5,194557963.5,3725935,565123,1812,4505,-41707,20241,84933,,,,1578077,676415,3726558,0.7655732283,0.7316278836
98Q4,3864586064,3464008383,3206492282,2890743774,392780035.5,271422579,237790408,215334745.5,,3023597397,27978395.368,27849552.081,41077734.64,2242021,33088181,3534334.1765,2075915,4630371.5147,,,172278,17681737.287,5104462.3015,1063071741,391579769,1945472576,1932175981.5,469262586,42166167,20711802.5,142702211.5,58912614,375399388.5,326422265.5,48977123,297295001,106295593,190999408,3728912.8493,849539.19485,1243,-6149,-8877.551471,37802,110422,,,,1426392.6544,1122382.5515,4001497,0.8520844371,0.8076884428
99Q1,3844026083,3853477587.5,3227322313,3216907297.5,435762022.5,273657736,242987481,240388944.5,,3030314464,27369540,32581124,37334512,5081780,36188951,3140879,5304518,4618605,,,-152581,18620360,4885296,1101530418,471331271,1945674019,1949830075,489831089,43702349.5,22014231,147596365,59997507,395797686.5,345214992.5,50582694,324555304,113087420,211467884,3218239,743014,2536,-233,-8235,30065,107489,,,,1409161,715443,3331635,0.7493024307,0.7102555907
99Q2,3933812057,3819509126,3330563160,3227834371,409403303,273939376,241547338,239470120.5,,3098794889,27610976,31775987,36820287,3622897,35783859,3155437,4792429,4612403,,,,17903044,4634355,1077044764,470704202,1979420412,1963503503,492656534,46688159.5,20650317.5,147977732,58006307.5,399560431.5,348308736.5,51251695,315790419.5,106195857.5,209594562,3123495,945583,124,-1400,-3625,47540,120651,,,,1314793,579786,3437408,0.7591193778,0.7228933114
