date,assets,assets_avg,assets_ie_avg,assets_tr,equity,tier1,tier1_avg,tier1c,rwa,netintinc,nonintinc,nonintexp,nonintinc_tr,alll_lvl,lllp_lvl,tstock_prchs,dividends,impair_gw,impair_oint,inc_extra,nonintexp_comp,nonintexp_prop,dep_dom,dep_fgn,loans,loans_avg,loans_ci,loans_cld,loans_mfam,loans_nfnr,loans_heloc,loans_sfam,loans_sfam_l1,loans_sfam_l2,loans_cons,loans_cc,loans_consxcc,nchg,nchg_ci,nchg_cld,nchg_mfam,nchg_nfnr,nchg_heloc,nchg_sfam,nchg_sfam_l1,nchg_sfam_l2,nchg_cons,nchg_cc,nchg_consxcc,nonintinc_xtr,nonintexp_xgw,nonintexp_oth,ppnr_y9,ppnr_base,ppnr_xtr,nonintinc_xtr_ta,nonintinc_tr_ta,nonintinc_tr_tra,nim_y9,nim_ta,nonintexp_comp_ta,nonintexp_prop_ta,nonintexp_oth_ta,deps,payout,alll,lllp_y9,tier1cr,chgoff_y9,chgoff_ci_y9,chgoff_cre_y9,chgoff_cld_y9,chgoff_mfam_y9,chgoff_nfnr_y9,chgoff_heloc_y9,chgoff_sfam_y9,chgoff_sfam_l1_y9,chgoff_sfam_l2_y9,chgoff_cons_y9,chgoff_cc_y9,chgoff_consxcc_y9,exposure_ci_y9,exposure_cre_y9,exposure_rre_y9,exposure_cc_y9,exposure_othcons_y9,exposure_tr_y9
97Q1,2753154955,2737341172,2313846716,304051734,203690245,181175249,180173544.5,,2201205307,22545435,16341288,23378657,2460291,33488503,2387660,6372229,3175741,,,,12154053,3586407,885207766,370885816.5,1555588985,1535852636,357018567,26393488.5,16747569,120652985.5,51442280.5,313455873,269523449,43932424,310735918.5,127086895,183649023.5,2539021,177373,-3421,4420,-41915,27133,84033,,,,,,13880997,23378657,7638197,0.566537564,0.566537564,0.476658706,0.507097805,0.089878859,0.809168548,0.861203573,0.823625321,0.444009432,0.131017903,0.279037085,45.88735943,9547970,2.180450273,0.15546153,,0.165316707,0.04968173,-0.024980151,-0.01296153,0.02639189,-0.034740127,0.052744551,0.026808558,,,,,,15.42965506,7.078863171,15.77019562,5.49245091,7.936957199,13.14053052
97Q2,2878883307,2808641248,2389240031,323554779,207843379,182730987,181970545.5,,2285807841,22880517,17383531,25019358,2288790,33725624.5,2770733,5744196,3119214,,,,12289768,3663652,905128981.5,386224651.5,1602895553,1570989311,365225628.5,27085190.5,18057733,119481294,52949953,327308370,282950925,44357445,313196616,127499769.5,185696846.5,2785008,199503,-8579,-2707,-557,28323,103503,,,,,,15094741,25019358,9065938,0.542778114,0.542778114,0.461287109,0.537439269,0.081491006,0.707388717,0.843429695,0.81464719,0.437569875,0.130442149,0.322787327,45.97787752,8863410,2.146776192,0.176368673,,0.177277336,0.054624589,-0.00719396,-0.031674136,-0.014990808,-0.000466182,0.053490133,0.031622473,,,,,,15.28626776,6.890233521,15.91545086,5.336415255,7.77221393,13.54216298
97Q3,2957180704,2904794171,2456283506,347298305.5,213401192,187471987,186404002,,2354929839,23251609,19634470,27564486,2743070,34165997.5,2831788,4288454,3231732,,,,13379184,3761007,933005301.5,398376738,1633793294,1623483225,377020012,29041868.5,18020393.5,125398981.5,56014216,337538043.5,291937437,45600606.5,318310062,130951676.5,187358385.5,2964183,377183,-7657,3579,132,27012,83029,,,,,,16891400,27564486,10424295,0.527458818,0.527458818,0.43302631,0.581500754,0.094432508,0.789831092,0.829353683,0.800456336,0.460589743,0.129475852,0.358865186,45.83395453,7520186,2.104487252,0.174426687,,0.182581683,0.100043231,-0.00228805,-0.026365383,0.019860832,0.000105264,0.048223472,0.024598412,,,,,,15.34920587,7.021227113,16.02226529,5.33129324,7.62771826,14.13917834
97Q4,3038371804,2995111995,2527247089,361695690,218342338,190063561,189812153,,2426956268,23292861.32,18726625.29,27424083.27,987597,34138753,3104771.5,3580803,3352295.559,,,,13393797.59,3926641.765,959324514,408565283.5,1672449273,1651685532,390265251.5,29870289.5,18217746,127703436,58073372.5,339009319,293335578.5,45673740.5,317253937,130569123.5,186684813.5,2989720.441,385333.0294,-14482,-1975,19699,25577,94234,,,,,,17739028.29,27424083.27,10103643.91,0.487307432,0.487307432,0.454333807,0.592265943,0.032973625,0.273046383,0.806276313,0.777695838,0.44718854,0.131101667,0.337337767,45.67073952,6933098.559,2.06690392,0.187975946,,0.18101027,0.098736187,0.001844231,-0.048482958,-0.010841078,0.015425583,0.04404256,0.027796876,,,,,,15.4423069,6.955848214,15.71206445,5.166456579,7.386884105,14.31184515
98Q1,3194289443,3136297813,2638352739,374078024.5,227123322,198376714,194040971.5,,2516174635,23650749.92,21643391.56,29613956.68,2992145.332,33932868.5,2829770.063,2775100.26,3659418.485,,,-172272,14544775.99,4026685.455,971182189,433592999,1719416827,1692359392,404440292.5,30187031.5,18473899.5,126913064,57837877,338541524.5,293802570,44738954.5,306774744,124896939.5,181877804.5,3013258.343,404261.4658,-956.4630137,-1519.052055,-11425.53151,28765,87295.88767,,,,,,18651246.23,29613956.68,11042495.24,0.499958414,0.50545126,0.404554677,0.594689897,0.095403738,0.799871988,0.785105178,0.754097708,0.463756214,0.128389767,0.352086948,44.79087357,6434518.745,2.005062794,0.167208577,,0.178050735,0.099955784,-0.007917486,-0.003168457,-0.008222693,-0.009002644,0.049733845,0.025785873,,,,,,15.32927294,6.654682386,15.02374552,4.733898453,6.893612132,14.17846897
98Q2,3295107094,3265803979,2742765014,383654803,235907935,205385140,202981814.5,,2609094227,24140664,23597633,30179830,2612986,34603005.5,2853881,1711680,3601699,,,-103528,14967607,4108888,1007511674,448075080,1764255847,1746387893,427337532.5,32330861.5,18537338,128199077,58662431,353904073,307171805.5,46732267.5,307976524.5,119070434,188906090.5,2953896,450971,-5801,-1556,-67230,24756,77173,,,,,,20984647,30179830,11103335,0.537646078,0.540816139,0.457635581,0.642556845,0.080010497,0.681077359,0.772150428,0.739195131,0.458313086,0.125815512,0.339987797,44.57054872,5313379,1.98140434,0.163416215,,0.169143179,0.105530398,-0.04165306,-0.017942609,-0.00839387,-0.052441875,0.042200774,0.021806192,,,,,,15.58053754,6.528713746,15.04199237,4.34125539,6.887432556,13.98788453
98Q3,3373498471,3324147372,2788177035,383872405.5,239928092,209781405,208864935,,2669771898,24229338,19393979,29500195,-5595,35270140.5,4319335,1689114,3784175,,,103522,14430618,4283959,1020970781,463765819.5,1815532325,1795612028,447852774.5,36077532.5,18650257.5,131216627.5,58548514.5,360924938.5,313650831,47274107.5,315397088,120839124.5,194557963.5,3725935,565123,1812,4505,-41707,20241,84933,,,,,,19399574,29500195,10785618,0.424864497,0.421750255,0.425032811,0.583595486,-0.000168314,-0.001457516,0.763838599,0.728888803,0.434114869,0.128873919,0.324462691,44.6651858,5473289,1.964240602,0.240549458,,0.20750223,0.126184995,-0.019032569,0.005022516,0.024155163,-0.031784844,0.03457133,0.02353204,,,,,,16.06256593,6.669031958,15.0447209,4.333983208,6.977963058,13.7678634
98Q4,3833475788,3864586064,3206492282,392780035.5,271422579,237790408,215334745.5,,3023597397,27978395.37,27849552.08,41077734.64,2242021,33088181,3534334.177,2075915,4630371.515,,,172278,17681737.29,5104462.302,1063071741,391579769,1945472576,1932175982,469262586,42166167,20711802.5,142702211.5,58912614,375399388.5,326422265.5,48977123,297295001,106295593,190999408,3728912.849,849539.1949,1243,-6149,-8877.551471,37802,110422,,,,,,25607531.08,41077734.64,18291535.05,0.381676396,0.377218532,0.323661877,0.662620282,0.058014519,0.570808289,0.777334775,0.723968749,0.457532501,0.132083028,0.473311624,37.64055156,6706286.515,1.712482782,0.18291989,,0.192990332,0.181037061,-0.006704708,0.002947861,-0.029688387,-0.006221033,0.064166224,0.029414539,,,,,,14.63476425,6.411373018,13.54476993,3.315011659,5.956646429,12.24952381
99Q1,3824791401,3844026083,3227322313,435762022.5,273657736,242987481,240388944.5,,3030314464,27369540,32581124,37334512,5081780,36188951,3140879,5304518,4618605,,,-152581,18620360,4885296,1101530418,471331271,1945674019,1949830075,489831089,43702349.5,22014231,147596365,59997507,395797686.5,345214992.5,50582694,324555304,113087420,211467884,3218239,743014,2536,-233,-8235,30065,107489,,,,,,27499344,37334512,13828856,0.588345436,0.592314737,0.45614602,0.715378705,0.132199415,1.166182397,0.747171987,0.712001933,0.484397338,0.127088003,0.359749276,40.91703997,9923123,1.856005375,0.161084755,,0.16505228,0.1516878,-0.002780891,0.005802892,-0.001058406,-0.005579406,0.050110415,0.027157562,,,,,,15.17763153,6.609595349,14.12301435,3.504063401,6.552425308,13.50227775
99Q2,3937204933,3933812057,3330563160,409403303,273939376,241547338,239470120.5,,3098794889,27610976,31775987,36820287,3622897,35783859,3155437,4792429,4612403,,,,17903044,4634355,1077044764,470704202,1979420412,1963503503,492656534,46688159.5,20650317.5,147977732,58006307.5,399560431.5,348308736.5,51251695,315790419.5,106195857.5,209594562,3123495,945583,124,-1400,-3625,47540,120651,,,,,,28153090,36820287,14282888,0.573659231,0.573659231,0.481562889,0.715669422,0.092096342,0.884921292,0.738268011,0.70188854,0.455106745,0.117808246,0.363080081,39.34476136,9404832,1.822449461,0.160704424,,0.159077638,0.191935544,-0.002276187,0.000265592,-0.006779557,-0.002449693,0.081956605,0.030195933,,,,,,14.79198893,6.464858904,13.73841951,3.188525556,6.293066726,12.29231464
