date,total_assets_top25,interest_earning_assets_top25,total_interest_expense_top25,total_interest_inc_top25,net_interest_income_top25,nim_top25,loans_real_estate_top25,loans_agr_top25,loans_ci_top25,loans_consumer_top25,loans_foreign_top25,loans_other_dom_top25,lease_financing_top25,inc_depository_inst_top25,inc_on_securities_top25,inc_trading_assets_top25,inc_fedfunds_top25,other_interest_inc_top25,expense_trans_accnts_top25,expense_nontrans_accnts_top25,expense_fedfunds_top25,expense_trade_liab_top25,expense_sub_debt_top25,assets_depository_inst_top25,assets_securities_notrade_top25,assets_fedfunds_top25,assets_all_loans_top25,assets_trading_accnts_top25
85Q1,1018814108,860435601,17413260.15,24936277.04,7523016.89,0.874326548,3133116.68,149995.6254,4948024.347,2688359.972,73813.62898,1431027.898,319532.4603,1932887.096,1629961.825,722395,779720.5069,,,,2224190.973,1523589.48,169252.5808,"75,482,328","66,781,933","36,774,890","653,545,597","28,087,459"
85Q2,1040911626,877252930,17194727,24959648,7764921,0.885140503,3168253.664,146468.8616,4812359.644,2794507.137,61256.12974,1435289.565,312894,1971669,1667557,698744,810537,,,,2088574,1578064,185873,"79,657,577","68,877,729","41,189,320","660,786,306","26,743,517"
85Q3,1061843678,886633168,16856572,24538508,7681936,0.866416493,3211370.736,137735.6054,4477585.707,3068361.596,56982.42512,1454711.931,291766,1822082,1661238,747285,872105,,,,2127597,1973615,200533,"78,449,833","70,560,547","44,600,714","664,595,576","28,426,498"
85Q4,1088856852,907390694.5,16633562.55,24993211.77,8359649.224,0.921284434,3381267.912,112092.8451,4512792.337,3253820.257,45085.22775,1477218.194,363581,1681183.776,1730352.798,844520,976696.4265,,,,2371666.349,1781158,199971.0037,"75,675,870","76,012,542","48,040,308","674,995,389","33,264,933"
86Q1,1094924219,931550990,16716801.26,24887338.66,8170537.395,0.877089658,3305156.606,97333.35534,4351322.486,3293673.311,54447.06188,1583758.436,357672.8411,1667297.28,1908106.463,873824,978262.8164,,,,2299539.995,1977974.088,220059.0055,"76,002,489","83,849,755","53,330,824","679,963,527","38,470,106"
86Q2,1119348622,945661981.5,15298173.87,23578101.14,8279927.27,0.875569435,3366519.078,90946.13704,4124332.103,3199088.093,54030.81706,1556564.604,334116.382,1623970.315,1975243,705418.6966,854186.7416,,,,2249794.124,1381620.225,221635.5618,"77,641,712","89,501,667","50,366,682","692,987,929","35,785,980"
86Q3,1120513350,959688355,14288892.73,22622797.23,8333904.494,0.868396959,3381587.518,87044.23686,3880987.564,3281653.86,48722.22251,1406935.128,339806.2,1468375.85,2044253.928,693145.2667,783341.0667,,,,2034828.733,1308483.378,212554,"76,444,421","100,025,976","52,022,576","691,652,529","39,811,155"
86Q4,1175515241,985166392,14201935.25,22789971.35,8588036.099,0.871734579,3572404.451,101413.4094,3852644.484,3317139.543,62670.10201,1413071.126,294829.2721,1428667.427,2273839.625,754406,789639.9118,,,,2105687.283,1489675.228,277091.8897,"76,135,844","111,659,717","50,693,538","708,488,765","38,441,224"
87Q1,1179001656,1028301839,15104782.95,23523426.85,8418643.901,0.818693849,3449370.383,69819.40098,3996388.841,3333212.258,46864.03787,1481771.46,432252.2849,1541142.195,2398848.375,1002344.4,771628.8055,,406727,5053636,2031291.94,2117790.296,237636.2164,"82,320,010","116,062,885","50,622,782","740,419,171","39,750,317"
87Q2,1207738696,1074173668,16676250.54,25464048.33,8787797.787,0.818098419,3891199.188,82787.67299,4379994.836,3374310.679,48933.28923,1527794.437,526849.3708,1720738.528,2488493.371,960593.2472,934075.0787,,462230.4382,5408355.405,2118605.011,2606586.854,292654.7191,"90,568,291","118,867,992","59,887,144","769,601,180","36,105,663"
