date,entity,name,nim,nim_ta,roa,roe,assets_avg,assets_ie_avg,assets_tr,equity_avg,netintinc,netinc
3/31/1990,1027004,ZIONS BC,,4.398692888,0.766724136,12.77294466,10921790,,19607.5,655604.5,120104,20935
6/30/1990,1027004,ZIONS BC,,4.458938637,0.761026204,12.7647137,11220426,,14260,668956.5,125077.9775,21347.59551
9/30/1990,1027004,ZIONS BC,,4.611757254,0.888648337,15.07360975,11721172,,12059.5,691009,135138,26040
12/31/1990,1027004,ZIONS BC,,4.308013262,0.678023663,11.1504163,11954745,,15024.5,726932.5,128753,20264
3/31/1991,1027004,ZIONS BC,,4.485438123,0.894682353,14.63451996,12173259,,23870,744213,136506,27228
6/30/1991,1027004,ZIONS BC,,4.561749446,0.870563611,13.97774628,12377269,,32042.5,770882.5,141155,26938
9/30/1991,1027004,ZIONS BC,,4.477070442,0.905078351,14.45255199,12681775,,28426,794185,141943,28695
12/31/1991,1027004,ZIONS BC,,4.367062123,0.538176885,8.737500046,13119850,,31630,808103,143238,17652
3/31/1992,1027004,ZIONS BC,,4.262066958,0.897994984,14.43003896,13223790.5,,44407.5,822929,140901.7014,29687.24384
6/30/1992,1027004,ZIONS BC,,4.427975721,0.889311079,14.08410829,13369450,,50204.5,844185.5,147999,29724
9/30/1992,1027004,ZIONS BC,,4.544507866,1.01072041,15.45629706,13393803,,41537.5,875849.5,152170.6077,33843.47514
12/31/1992,1027004,ZIONS BC,,4.677659764,0.826785764,12.45395712,13614075.5,,37047,903803,159205.033,28139.80952
3/31/1993,1027004,ZIONS BC,,4.391549673,0.883412306,12.75519603,13915892.5,,42253.5,963801,152780.8329,30733.67671
6/30/1993,1027004,ZIONS BC,,4.439807849,0.943841501,13.03500259,14176109,,37558.5,1026467,157348,33450
9/30/1993,1027004,ZIONS BC,,4.260026651,0.824807284,11.6310144,14790245.5,,46697.5,1048842.5,157517.1,30497.75556
12/31/1993,1027004,ZIONS BC,,4.580783637,0.131850434,1.935632318,15408368,,81209,1049579.5,176456,5079
3/31/1994,1027004,ZIONS BC,,4.167227761,0.663943919,9.301635069,15096568,,265214.5,1077582,157277.0932,25058.1863
6/30/1994,1027004,ZIONS BC,,4.209475914,0.883519354,12.54402938,15589019,,372956,1097988.5,164054,34433
9/30/1994,1027004,ZIONS BC,,4.327667363,0.782235881,11.00718343,15821826,,272268,1124393,171179,30941
12/31/1994,1027004,ZIONS BC,,4.819564228,0.751250358,10.36297678,15744185.5,,274068,1141354,189700.2831,29569.5625
3/31/1995,1027004,ZIONS BC,,4.536216775,0.827599756,10.93873348,15453847,,200392,1169203,175255,31974
6/30/1995,1027004,ZIONS BC,,4.409125366,-2.648631265,-34.80029559,16020048,,78342.5,1219277,176586,-106078
9/30/1995,1027004,ZIONS BC,,4.370175135,1.301643869,16.91120942,16865647.5,,115908.5,1298137,184264.5833,54882.66667
12/31/1995,1027004,ZIONS BC,,4.610987326,1.14105736,14.2801132,16981092,,111103,1356880,195749,48441
3/31/1996,1027004,ZIONS BC,,4.396672403,1.21970631,15.25588508,17349674,,72797,1387104.5,190702.0822,52903.76712
6/30/1996,1027004,ZIONS BC,,4.447063253,1.205755047,15.06442218,17646702,,129568,1412440.5,196190,53194
9/30/1996,1027004,ZIONS BC,,4.521338943,1.165018409,14.43432147,18443327,,163724,1488592,208471.3315,53717.03867
12/31/1996,1027004,ZIONS BC,4.964858379,4.592331826,1.246923975,15.26053009,18911177,17400083,92138,1545215,217116,58952
3/31/1997,1027004,ZIONS BC,4.595802537,4.272942043,1.134709057,14.51130936,20069638,18563706,96016.5,1569341.5,214391,56933
6/30/1997,1027004,ZIONS BC,4.607763401,4.247494766,1.07520714,13.80657766,21341698,19375072.5,297975.5,1662015.5,226621.8764,57366.86517
9/30/1997,1027004,ZIONS BC,4.637421893,4.310246869,1.079853677,14.03240589,21728129,19864409,330777.5,1672072.5,234134,58658
12/31/1997,1027004,ZIONS BC,4.555333801,4.150972639,1.017900051,13.39154876,22350328,20212746,153621,1698862.5,231939,56876
3/31/1998,1027004,ZIONS BC,4.659843227,4.309946991,1.124402185,14.59818801,22444638,20579346,179979,1728762.5,241838,63092
6/30/1998,1027004,ZIONS BC,4.740103497,4.32936812,0.959821846,12.16823893,23009270,20676395,339095.5,1814954.5,249039,55212
