date,shadow_banking_share_assets
85Q1,0.19
85Q2,0.2
85Q3,0.21
85Q4,0.22
86Q1,0.23
86Q2,0.24
86Q3,0.24
86Q4,0.25
87Q1,0.25
87Q2,0.26
87Q3,0.26
87Q4,0.26
88Q1,0.27
88Q2,0.27
88Q3,0.27
88Q4,0.27
89Q1,0.28
89Q2,0.28
89Q3,0.29
89Q4,0.3
90Q1,0.3
90Q2,0.32
90Q3,0.32
90Q4,0.33
91Q1,0.33
91Q2,0.34
91Q3,0.35
91Q4,0.36
92Q1,0.36
92Q2,0.37
92Q3,0.37
92Q4,0.38
93Q1,0.38
93Q2,0.38
93Q3,0.38
93Q4,0.39
94Q1,0.38
94Q2,0.38
94Q3,0.39
94Q4,0.38
95Q1,0.39
95Q2,0.39
95Q3,0.39
95Q4,0.4
96Q1,0.41
96Q2,0.41
96Q3,0.41
96Q4,0.42
97Q1,0.42
97Q2,0.42
97Q3,0.43
97Q4,0.43
98Q1,0.44
98Q2,0.44
98Q3,0.45
98Q4,0.45
99Q1,0.45
99Q2,0.46
99Q3,0.46
99Q4,0.47
00Q1,0.47
00Q2,0.47
00Q3,0.47
00Q4,0.48
01Q1,0.48
01Q2,0.49
01Q3,0.49
01Q4,0.5
02Q1,0.49
02Q2,0.49
02Q3,0.49
02Q4,0.49
03Q1,0.49
03Q2,0.49
03Q3,0.5
03Q4,0.49
04Q1,0.49
04Q2,0.49
04Q3,0.49
04Q4,0.49
05Q1,0.49
05Q2,0.49
05Q3,0.49
05Q4,0.5
06Q1,0.5
06Q2,0.5
06Q3,0.51
06Q4,0.51
07Q1,0.52
07Q2,0.53
07Q3,0.52
07Q4,0.52
08Q1,0.52
08Q2,0.52
08Q3,0.51
08Q4,0.49
09Q1,0.47
09Q2,0.48
09Q3,0.47
09Q4,0.47
10Q1,0.36
10Q2,0.35
10Q3,0.35
10Q4,0.35
11Q1,0.35
11Q2,0.34
11Q3,0.33
11Q4,0.33
12Q1,0.32
12Q2,0.32
12Q3,0.32
12Q4,0.32
13Q1,0.31
