month,year,SVENY0025,SVENY0050,SVENY0075,SVENY0100,SVENY0200,SVENY0300,SVENY0500,SVENY0700,SVENY1000,SVENY1500,SVENY2000,SVENY3000
Nov,85,7.3245,7.5227,9.7132,7.8741,8.4296,8.8349,9.3543,9.6562,9.9453,10.3456,10.7788,10.6965
Dec,85,7.3099,7.443,9.2085,7.6834,8.0793,8.3889,8.8367,9.1453,9.4696,9.826,10.0617,10.3427
Jan,86,7.3923,7.5157,9.1177,7.7369,8.0975,8.3764,8.7783,9.0591,9.3656,9.7244,9.9744,10.2821
Feb,86,7.345,7.4414,8.69,7.6116,7.8837,8.093,8.4042,8.6387,8.9151,9.2477,9.4685,9.7195
Mar,86,6.8643,6.9346,7.8038,7.0568,7.2469,7.3895,7.6008,7.7663,7.9748,8.2452,8.4333,8.6518
Apr,86,6.2561,6.3542,7.3704,6.5251,6.7869,6.9719,7.2051,7.3435,7.4796,7.6393,7.7589,7.915
May,86,6.1968,6.3883,7.8622,6.7078,7.1558,7.4324,7.7149,7.8408,7.9462,8.0776,8.1817,8.313
Jun,86,6.3064,6.5026,8.0317,6.8287,7.2833,7.5642,7.8592,8.0048,8.1437,8.3186,8.4477,8.6016
Jul,86,5.9299,6.0871,7.5805,6.355,6.7507,7.0188,7.3463,7.5418,7.7414,7.9739,8.1334,8.3203
Aug,86,5.5992,5.7369,7.353,5.9782,6.357,6.6385,7.0309,7.2981,7.58,7.8807,8.0636,8.2615
Sep,86,5.3023,5.504,7.6225,5.8493,6.3686,6.7361,7.2264,7.5547,7.9057,8.2878,8.5207,8.7705
Oct,86,5.3813,5.5347,7.5552,5.8083,6.2531,6.6006,7.1141,7.4796,7.8647,8.2565,8.4813,8.7158
Nov,86,5.4699,5.5988,7.3598,5.8277,6.201,6.4979,6.953,7.2894,7.6483,8.0072,8.207,8.4117
Dec,86,5.6569,5.7615,7.1633,5.9374,6.2074,6.4221,6.7852,7.0942,7.4595,7.8471,8.0662,8.2909
Jan,87,5.6314,5.7327,7.1153,5.9066,6.1803,6.3985,6.7567,7.0505,7.3914,7.7522,7.9572,8.168
Feb,87,5.8772,5.9598,7.2158,6.1036,6.3374,6.5331,6.8694,7.1529,7.4836,7.8322,8.0294,8.2319
Mar,87,5.871,5.9648,7.1795,6.1214,6.3585,6.5447,6.8567,7.1207,7.4305,7.7564,7.9394,8.1265
Apr,87,6.0312,6.2676,7.9327,6.6037,6.998,7.2463,7.6078,7.8769,8.1567,8.4208,8.5615,8.7036
May,87,6.1996,6.6257,8.5191,7.1647,7.6722,7.9271,8.255,8.476,8.6827,8.8591,8.9488,9.0387
Jun,87,6.2421,6.5578,8.3206,6.9925,7.4564,7.7086,8.04,8.2736,8.5025,8.7032,8.8062,8.9094
Jul,87,6.1743,6.4081,8.3532,6.7775,7.2731,7.5965,8.02,8.2982,8.5669,8.8075,8.9325,9.0581
Aug,87,6.3582,6.6043,8.6141,6.9997,7.535,7.8756,8.2957,8.5613,8.8233,9.0696,9.2015,9.3349
